id,name,weight,height,exp,age
adamsja01,"Jaylen Adams",102,183,3,24
antetgi01,"Giannis Antetokounmpo",109,211,12,30
antetko01,"Kostas Antetokounmpo",90,208,3,22
antetth01,"Thanasis Antetokounmpo",99,201,6,28
augusdj01,"D.J. Augustin",83,180,14,33
ballla01,"LaMelo Ball",81,201,5,20
banchpa01,"Paolo Banchero",113,208,3,21
bantoda01,"Dalano Banton",92,206,4,24
bealbr01,"Bradley Beal",93,193,13,27
bjeline01,"Nemanja Bjelica",106,208,7,33
bookede01,"Devin Booker",93,198,10,28
bradlav01,"Avery Bradley",81,190,12,29
braunch01,"Christian Braun",98,198,3,21
bridgmi01,"Mikal Bridges",94,198,7,27
bridgmi02,"Miles Bridges",102,201,6,23
brissos01,"Oshae Brissett",95,201,6,25
brownbr01,"Bruce Brown",91,193,7,26
brownja02,"Jaylen Brown",101,198,9,27
brunsja01,"Jalen Brunson",86,188,7,28
bryanel01,"Elijah Bryant",95,196,1,25
bryanth01,"Thomas Bryant",112,208,8,25
butleji01,"Jimmy Butler",104,201,14,33
cacokde01,"Devontae Cacok",108,201,3,23
caldwke01,"Kentavious Caldwell-Pope",92,196,12,29
cancavl01,"Vlatko Čančar",107,203,5,25
carlsbr01,"Branden Carlson",99,213,1,25
carusal01,"Alex Caruso",84,196,8,30
chiozch01,"Chris Chiozza",79,180,4,26
connapa01,"Pat Connaughton",94,196,10,28
cookqu01,"Quinn Cook",81,185,5,26
craigto01,"Torrey Craig",100,201,8,30
cunnica01,"Cade Cunningham",99,198,4,23
curryst01,"Stephen Curry",83,188,16,36
danietr01,"Troy Daniels",90,193,7,28
davisan02,"Anthony Davis",114,208,13,30
davisjd01,"JD Davison",88,185,3,21
derozde01,"DeMar DeRozan",99,198,16,35
diakima01,"Mamadi Diakite",103,206,4,24
diengou01,"Ousmane Dieng",100,208,3,21
dinwisp01,"Spencer Dinwiddie",97,196,11,26
divindo01,"Donte DiVincenzo",92,193,7,24
doncilu01,"Luka Dončić",104,198,7,24
dortlu01,"Luguentz Dort",99,193,6,25
dowtije01,"Jeff Dowtin Jr.",83,190,4,24
ducasal01,"Alex Ducas",100,198,1,24
dudleja01,"Jared Dudley",107,198,14,34
duranke01,"Kevin Durant",108,211,17,36
edwaran01,"Anthony Edwards",102,193,5,23
embiijo01,"Joel Embiid",127,213,9,28
flaglad01,"Adam Flagler",88,190,2,25
