ID,player_name,height_cm,weight_kg,age,experience_years
0Sha,Shai Gilgeous-Alexander,198,90,26,7
1Jal,Jalen Williams,198,99,23,3
2Lug,Luguentz Dort,193,99,25,6
3Isa,Isaiah Hartenstein,213,115,26,7
4Cas,Cason Wallace,193,92,21,2
5Che,Chet Holmgren,216,96,22,2
6Aar,Aaron Wiggins,198,90,26,4
7Isa,Isaiah Joe,196,82,25,5
8Ale,Alex Caruso,196,84,30,8
9Jay,Jaylin Williams,203,113,22,3
10Aja,Ajay Mitchell,196,90,22,1
11Ken,Kenrich Williams,201,95,30,7
12Ous,Ousmane Dieng,208,100,21,3
13Dil,Dillon Jones,196,108,23,1
14Bra,Branden Carlson,213,99,25,1
15Ale,Alex Ducas,198,100,24,1
16Ada,Adam Flagler,190,88,25,2
17Mal,Malevy Leons,206,92,25,1
18Ale,Alex Reese,206,111,25,1
19Jay,Jayson Tatum,203,95,25,8
20Jay,Jaylen Brown,198,101,27,9
21Jru,Jrue Holiday,193,92,33,16
22Der,Derrick White,193,86,29,8
23Kri,Kristaps Porziņģis,218,108,28,9
24Al ,Al Horford,206,108,37,18
25Pay,Payton Pritchard,185,88,26,5
26Sam,Sam Hauser,203,97,26,4
27Luk,Luke Kornet,218,113,28,8
28Xav,Xavier Tillman Sr.,203,111,25,5
29Nee,Neemias Queta,213,111,24,4
30Osh,Oshae Brissett,201,95,25,6
31Svi,Svi Mykhailiuk,201,92,26,7
32Jor,Jordan Walsh,201,92,19,2
33Dre,Drew Peterson,206,92,24,2
34Jad,Jaden Springer,193,92,21,4
35Dal,Dalano Banton,206,92,24,4
36Lam,Lamar Stevens,198,104,26,5
37JD ,JD Davison,185,88,21,3
38Nik,Nikola Jokić,211,128,27,10
39Jam,Jamal Murray,193,97,25,8
40Ken,Kentavious Caldwell-Pope,196,92,29,12
41Aar,Aaron Gordon,203,106,27,11
42Mic,Michael Porter Jr.,208,98,24,6
43Bru,Bruce Brown,193,91,26,7
44Reg,Reggie Jackson,188,94,32,14
45Jef,Jeff Green,203,106,36,17
46Bon,Bones Hyland,188,78,22,4
47Chr,Christian Braun,198,98,21,3
48DeA,DeAndre Jordan,211,120,34,17
49Vla,Vlatko Čančar,203,107,25,5
50Zek,Zeke Nnaji,206,108,22,5
51Tho,Thomas Bryant,208,112,25,8
52Ish,Ish Smith,183,79,34,14
53Dav,Davon Reed,196,94,27,4
54Pey,Peyton Watson,203,90,20,3
55Jac,Jack White,201,102,25,2
56Ste,Stephen Curry,188,83,33,16
57And,Andrew Wiggins,201,89,26,11
58Jor,Jordan Poole,193,87,22,6
59Kla,Klay Thompson,196,97,31,12
60Dra,Draymond Green,198,104,31,13
61Ott,Otto Porter Jr.,203,89,28,11
62Kev,Kevon Looney,206,100,25,10
63Dam,Damion Lee,196,95,29,7
64And,Andre Iguodala,198,97,38,19
65Gar,Gary Payton II,188,86,29,9
66Jon,Jonathan Kuminga,203,95,19,4
67Nem,Nemanja Bjelica,208,106,33,7
68Jua,Juan Toscano-Anderson,198,94,28,5
69Mos,Moses Moody,196,92,19,4
70Chr,Chris Chiozza,180,79,26,4
71Jef,Jeff Dowtin Jr.,190,83,24,4
72Qui,Quinndary Weatherspoon,190,92,25,3
73Khr,Khris Middleton,201,100,29,13
74Gia,Giannis Antetokounmpo,211,109,26,12
75Jus,Justin Jackson,203,99,25,7
76Jru,Jrue Holiday,193,92,30,16
77Eli,Elijah Bryant,196,95,25,1
