ID,positions,ID_positions
0Sha,Point Guard,2
0Sha,Shooting Guard,4
1Jal,Shooting Guard,4
1Jal,Power Forward,3
2Lug,Small Forward,5
2Lug,Shooting Guard,4
3Isa,Center,1
3Isa,Power Forward,3
4Cas,Shooting Guard,4
5Che,Center,1
5Che,Power Forward,3
6Aar,Shooting Guard,4
7Isa,Shooting Guard,4
8Ale,Point Guard,2
8Ale,Shooting Guard,4
9Jay,Center,1
9Jay,Power Forward,3
10Aja,Shooting Guard,4
11Ken,Power Forward,3
11Ken,Small Forward,5
12Ous,Power Forward,3
12Ous,Center,1
13Dil,Small Forward,5
14Bra,Center,1
15Ale,Shooting Guard,4
16Ada,Shooting Guard,4
17Mal,Small Forward,5
18Ale,Power Forward,3
19Jay,Small Forward,5
19Jay,Power Forward,3
20Jay,Small Forward,5
20Jay,Shooting Guard,4
21Jru,Point Guard,2
21Jru,Shooting Guard,4
22Der,Shooting Guard,4
22Der,Point Guard,2
23Kri,Center,1
23Kri,Power Forward,3
24Al ,Center,1
25Pay,Point Guard,2
25Pay,Shooting Guard,4
26Sam,Small Forward,5
26Sam,Power Forward,3
27Luk,Center,1
28Xav,Center,1
28Xav,Power Forward,3
29Nee,Center,1
30Osh,Small Forward,5
30Osh,Power Forward,3
31Svi,Small Forward,5
32Jor,Small Forward,5
32Jor,Power Forward,3
33Dre,Power Forward,3
34Jad,Shooting Guard,4
34Jad,Point Guard,2
35Dal,Point Guard,2
36Lam,Power Forward,3
36Lam,Small Forward,5
37JD ,Shooting Guard,4
37JD ,Point Guard,2
38Nik,Center,1
39Jam,Point Guard,2
39Jam,Shooting Guard,4
40Ken,Shooting Guard,4
41Aar,Power Forward,3
41Aar,Small Forward,5
42Mic,Small Forward,5
43Bru,Point Guard,2
43Bru,Small Forward,5
43Bru,Shooting Guard,4
44Reg,Point Guard,2
44Reg,Shooting Guard,4
45Jef,Power Forward,3
45Jef,Small Forward,5
45Jef,Center,1
46Bon,Point Guard,2
46Bon,Shooting Guard,4
47Chr,Shooting Guard,4
48DeA,Center,1
49Vla,Power Forward,3
50Zek,Power Forward,3
51Tho,Center,1
52Ish,Point Guard,2
53Dav,Shooting Guard,4
54Pey,Small Forward,5
54Pey,Shooting Guard,4
55Jac,Small Forward,5
56Ste,Point Guard,2
57And,Small Forward,5
57And,Power Forward,3
58Jor,Shooting Guard,4
58Jor,Point Guard,2
59Kla,Shooting Guard,4
59Kla,Small Forward,5
60Dra,Power Forward,3
60Dra,Small Forward,5
61Ott,Small Forward,5
61Ott,Power Forward,3
62Kev,Center,1
62Kev,Power Forward,3
63Dam,Shooting Guard,4
64And,Small Forward,5
64And,Shooting Guard,4
64And,Power Forward,3
65Gar,Shooting Guard,4
65Gar,Point Guard,2
65Gar,Small Forward,5
66Jon,Power Forward,3
66Jon,Small Forward,5
67Nem,Power Forward,3
67Nem,Center,1
68Jua,Small Forward,5
68Jua,Shooting Guard,4
69Mos,Shooting Guard,4
70Chr,Point Guard,2
71Jef,Point Guard,2
72Qui,Shooting Guard,4
73Khr,Small Forward,5
73Khr,Shooting Guard,4
74Gia,Power Forward,3
74Gia,Small Forward,5
74Gia,Point Guard,2
74Gia,Shooting Guard,4
75Jus,Small Forward,5
75Jus,Power Forward,3
76Jru,Point Guard,2
76Jru,Shooting Guard,4
77Eli,Shooting Guard,4
78Don,Shooting Guard,4
79Bro,Center,1
80Pat,Shooting Guard,4
80Pat,Small Forward,5
81Bob,Power Forward,3
81Bob,Center,1
82P.J,Small Forward,5
82P.J,Power Forward,3
82P.J,Shooting Guard,4
83Bry,Shooting Guard,4
84D.J,Point Guard,2
85Jef,Point Guard,2
86Tor,Small Forward,5
86Tor,Power Forward,3
87Mam,Power Forward,3
87Mam,Center,1
88Tha,Small Forward,5
88Tha,Power Forward,3
89Jor,Small Forward,5
90D.J,Power Forward,3
91Sam,Shooting Guard,4
92Axe,Small Forward,5
93Rod,Small Forward,5
93Rod,Power Forward,3
94Jay,Point Guard,2
95LeB,Small Forward,5
95LeB,Power Forward,3
95LeB,Point Guard,2
95LeB,Center,1
95LeB,Shooting Guard,4
96Ant,Center,1
96Ant,Power Forward,3
97Ken,Shooting Guard,4
98Kyl,Power Forward,3
98Kyl,Small Forward,5
99Dan,Shooting Guard,4
99Dan,Small Forward,5
100Ave,Shooting Guard,4
100Ave,Point Guard,2
101Dio,Shooting Guard,4
102Raj,Point Guard,2
103Dwi,Center,1
103Dwi,Power Forward,3
104Ale,Point Guard,2
104Ale,Shooting Guard,4
105JaV,Center,1
106Mar,Power Forward,3
107Tal,Shooting Guard,4
107Tal,Point Guard,2
108J.R,Shooting Guard,4
108J.R,Small Forward,5
109Qui,Point Guard,2
110Tro,Shooting Guard,4
111Dev,Power Forward,3
111Dev,Center,1
112Jar,Power Forward,3
112Jar,Small Forward,5
112Jar,Shooting Guard,4
113Kos,Power Forward,3
113Kos,Small Forward,5
114Zac,Shooting Guard,4
115Sha,Point Guard,2
115Sha,Shooting Guard,4
116Nik,Center,1
117Gia,Power Forward,3
117Gia,Small Forward,5
117Gia,Point Guard,2
117Gia,Shooting Guard,4
118Jay,Small Forward,5
118Jay,Power Forward,3
119Don,Shooting Guard,4
119Don,Point Guard,2
120LeB,Small Forward,5
120LeB,Power Forward,3
120LeB,Point Guard,2
120LeB,Center,1
120LeB,Shooting Guard,4
121Cad,Point Guard,2
121Cad,Shooting Guard,4
122Ant,Shooting Guard,4
123Ste,Point Guard,2
124Jal,Point Guard,2
124Jal,Shooting Guard,4
125Jam,Point Guard,2
125Jam,Shooting Guard,4
126Eva,Power Forward,3
127Nik,Center,1
128Sha,Point Guard,2
