ID,rank,season,groupName,ID_seasons
0Sha,,2025,LC,25
1Jal,,2025,LC,25
2Lug,,2025,LC,25
3Isa,,2025,LC,25
4Cas,,2025,LC,25
5Che,,2025,LC,25
6Aar,,2025,LC,25
7Isa,,2025,LC,25
8Ale,,2025,LC,25
9Jay,,2025,LC,25
10Aja,,2025,LC,25
11Ken,,2025,LC,25
12Ous,,2025,LC,25
13Dil,,2025,LC,25
14Bra,,2025,LC,25
15Ale,,2025,LC,25
16Ada,,2025,LC,25
17Mal,,2025,LC,25
18Ale,,2025,LC,25
19Jay,,2024,LC,24
20Jay,,2024,LC,24
21Jru,,2024,LC,24
22Der,,2024,LC,24
23Kri,,2024,LC,24
24Al ,,2024,LC,24
25Pay,,2024,LC,24
26Sam,,2024,LC,24
27Luk,,2024,LC,24
28Xav,,2024,LC,24
29Nee,,2024,LC,24
30Osh,,2024,LC,24
31Svi,,2024,LC,24
32Jor,,2024,LC,24
33Dre,,2024,LC,24
34Jad,,2024,LC,24
35Dal,,2024,LC,24
36Lam,,2024,LC,24
37JD ,,2024,LC,24
38Nik,,2023,LC,23
39Jam,,2023,LC,23
40Ken,,2023,LC,23
41Aar,,2023,LC,23
42Mic,,2023,LC,23
43Bru,,2023,LC,23
44Reg,,2023,LC,23
45Jef,,2023,LC,23
46Bon,,2023,LC,23
47Chr,,2023,LC,23
48DeA,,2023,LC,23
49Vla,,2023,LC,23
50Zek,,2023,LC,23
51Tho,,2023,LC,23
52Ish,,2023,LC,23
53Dav,,2023,LC,23
54Pey,,2023,LC,23
55Jac,,2023,LC,23
56Ste,,2022,LC,22
57And,,2022,LC,22
58Jor,,2022,LC,22
59Kla,,2022,LC,22
60Dra,,2022,LC,22
61Ott,,2022,LC,22
62Kev,,2022,LC,22
63Dam,,2022,LC,22
64And,,2022,LC,22
65Gar,,2022,LC,22
66Jon,,2022,LC,22
67Nem,,2022,LC,22
68Jua,,2022,LC,22
69Mos,,2022,LC,22
70Chr,,2022,LC,22
71Jef,,2022,LC,22
72Qui,,2022,LC,22
73Khr,,2021,LC,21
74Gia,,2021,LC,21
75Jus,,2021,LC,21
76Jru,,2021,LC,21
77Eli,,2021,LC,21
78Don,,2021,LC,21
79Bro,,2021,LC,21
80Pat,,2021,LC,21
81Bob,,2021,LC,21
82P.J,,2021,LC,21
83Bry,,2021,LC,21
84D.J,,2021,LC,21
85Jef,,2021,LC,21
86Tor,,2021,LC,21
87Mam,,2021,LC,21
88Tha,,2021,LC,21
89Jor,,2021,LC,21
90D.J,,2021,LC,21
91Sam,,2021,LC,21
92Axe,,2021,LC,21
93Rod,,2021,LC,21
94Jay,,2021,LC,21
95LeB,,2020,LC,20
96Ant,,2020,LC,20
97Ken,,2020,LC,20
98Kyl,,2020,LC,20
99Dan,,2020,LC,20
100Ave,,2020,LC,20
101Dio,,2020,LC,20
102Raj,,2020,LC,20
103Dwi,,2020,LC,20
104Ale,,2020,LC,20
105JaV,,2020,LC,20
106Mar,,2020,LC,20
107Tal,,2020,LC,20
108J.R,,2020,LC,20
109Qui,,2020,LC,20
110Tro,,2020,LC,20
111Dev,,2020,LC,20
112Jar,,2020,LC,20
113Kos,,2020,LC,20
114Zac,,2020,LC,20
115Sha,1.0,2025,MJT,25
116Nik,2.0,2025,MJT,25
117Gia,3.0,2025,MJT,25
118Jay,4.0,2025,MJT,25
119Don,5.0,2025,MJT,25
120LeB,6.0,2025,MJT,25
121Cad,7.0,2025,MJT,25
122Ant,7.0,2025,MJT,25
123Ste,9.0,2025,MJT,25
124Jal,10.0,2025,MJT,25
125Jam,10.0,2025,MJT,25
126Eva,10.0,2025,MJT,25
127Nik,1.0,2024,MJT,24
128Sha,2.0,2024,MJT,24
129Luk,3.0,2024,MJT,24
130Gia,4.0,2024,MJT,24
131Jal,5.0,2024,MJT,24
132Jay,6.0,2024,MJT,24
133Ant,7.0,2024,MJT,24
134Dom,8.0,2024,MJT,24
135Kev,9.0,2024,MJT,24
136Joe,1.0,2023,MJT,23
137Nik,2.0,2023,MJT,23
138Gia,3.0,2023,MJT,23
139Jay,4.0,2023,MJT,23
140Sha,5.0,2023,MJT,23
141Don,6.0,2023,MJT,23
142Dom,7.0,2023,MJT,23
143Luk,8.0,2023,MJT,23
144Ste,9.0,2023,MJT,23
145Jim,10.0,2023,MJT,23
146De',11.0,2023,MJT,23
147Jal,12.0,2023,MJT,23
148Ja ,12.0,2023,MJT,23
149Nik,1.0,2022,MJT,22
150Joe,2.0,2022,MJT,22
151Gia,3.0,2022,MJT,22
152Dev,4.0,2022,MJT,22
153Luk,5.0,2022,MJT,22
154Jay,6.0,2022,MJT,22
155Ja ,7.0,2022,MJT,22
156Ste,8.0,2022,MJT,22
157Chr,9.0,2022,MJT,22
158DeM,10.0,2022,MJT,22
159Kev,10.0,2022,MJT,22
160LeB,10.0,2022,MJT,22
161Nik,1.0,2021,MJT,21
162Joe,2.0,2021,MJT,21
163Ste,3.0,2021,MJT,21
164Gia,4.0,2021,MJT,21
165Chr,5.0,2021,MJT,21
166Luk,6.0,2021,MJT,21
167Dam,7.0,2021,MJT,21
168Jul,8.0,2021,MJT,21
169Der,9.0,2021,MJT,21
170Rud,10.0,2021,MJT,21
171Rus,11.0,2021,MJT,21
172Ben,12.0,2021,MJT,21
173Jam,13.0,2021,MJT,21
174LeB,13.0,2021,MJT,21
175Kaw,13.0,2021,MJT,21
176Gia,1.0,2020,MJT,20
177LeB,2.0,2020,MJT,20
178Jam,3.0,2020,MJT,20
179Luk,4.0,2020,MJT,20
180Kaw,5.0,2020,MJT,20
181Ant,6.0,2020,MJT,20
182Chr,7.0,2020,MJT,20
183Dam,8.0,2020,MJT,20
184Nik,9.0,2020,MJT,20
185Pas,10.0,2020,MJT,20
186Jim,11.0,2020,MJT,20
187Jay,12.0,2020,MJT,20
188Gia,1.0,2019,MJT,19
189Jam,2.0,2019,MJT,19
190Pau,3.0,2019,MJT,19
191Nik,4.0,2019,MJT,19
192Ste,5.0,2019,MJT,19
193Dam,6.0,2019,MJT,19
194Joe,7.0,2019,MJT,19
195Kev,8.0,2019,MJT,19
196Kaw,9.0,2019,MJT,19
197Rus,10.0,2019,MJT,19
198Rud,11.0,2019,MJT,19
199LeB,11.0,2019,MJT,19
200Sha,1.0,2025,TS,25
201Ant,2.0,2025,TS,25
202Nik,3.0,2025,TS,25
203Gia,4.0,2025,TS,25
204Jay,5.0,2025,TS,25
205Dev,6.0,2025,TS,25
206Tra,7.0,2025,TS,25
207Tyl,8.0,2025,TS,25
208Cad,9.0,2025,TS,25
209Jam,10.0,2025,TS,25
210Kar,11.0,2025,TS,25
211Zac,12.0,2025,TS,25
212Jal,13.0,2025,TS,25
213Ste,14.0,2025,TS,25
214DeM,15.0,2025,TS,25
215LeB,16.0,2025,TS,25
216Don,17.0,2025,TS,25
217Jal,18.0,2025,TS,25
218Kev,19.0,2025,TS,25
219Jar,20.0,2025,TS,25
220Pas,21.0,2025,TS,25
221Dar,22.0,2025,TS,25
222Cob,23.0,2025,TS,25
223Jal,24.0,2025,TS,25
224Aus,25.0,2025,TS,25
225Luk,1.0,2024,TS,24
226Sha,2.0,2024,TS,24
227Gia,3.0,2024,TS,24
228Jal,4.0,2024,TS,24
229Nik,5.0,2024,TS,24
230Ant,6.0,2024,TS,24
231Kev,7.0,2024,TS,24
232Jay,8.0,2024,TS,24
233De',9.0,2024,TS,24
234Ste,10.0,2024,TS,24
235DeM,11.0,2024,TS,24
236Ant,12.0,2024,TS,24
237Dev,13.0,2024,TS,24
238LeB,14.0,2024,TS,24
239Tyr,15.0,2024,TS,24
240Pao,16.0,2024,TS,24
241Dam,17.0,2024,TS,24
242Dej,18.0,2024,TS,24
243Pas,19.0,2024,TS,24
244Pau,20.0,2024,TS,24
245Kaw,21.0,2024,TS,24
246Jay,22.0,2024,TS,24
247Jal,23.0,2024,TS,24
248Mik,24.0,2024,TS,24
249Zio,25.0,2024,TS,24
250Jay,1.0,2023,TS,23
251Joe,2.0,2023,TS,23
252Luk,3.0,2023,TS,23
253Sha,4.0,2023,TS,23
254Gia,5.0,2023,TS,23
255Ant,6.0,2023,TS,23
256Jul,7.0,2023,TS,23
257Don,8.0,2023,TS,23
258Tra,9.0,2023,TS,23
259Zac,10.0,2023,TS,23
260Dam,11.0,2023,TS,23
261De',12.0,2023,TS,23
262DeM,13.0,2023,TS,23
263Jay,14.0,2023,TS,23
264Pas,15.0,2023,TS,23
265Lau,16.0,2023,TS,23
266Nik,17.0,2023,TS,23
267Jal,18.0,2023,TS,23
268Jor,19.0,2023,TS,23
269Mik,20.0,2023,TS,23
270Ste,21.0,2023,TS,23
271Jal,22.0,2023,TS,23
272Kyr,23.0,2023,TS,23
273Ja ,24.0,2023,TS,23
274LeB,25.0,2023,TS,23
275Tra,1.0,2022,TS,22
276DeM,2.0,2022,TS,22
277Joe,3.0,2022,TS,22
278Jay,4.0,2022,TS,22
279Nik,5.0,2022,TS,22
280Gia,6.0,2022,TS,22
281Luk,7.0,2022,TS,22
282Dev,8.0,2022,TS,22
283Kar,9.0,2022,TS,22
284Don,10.0,2022,TS,22
285LeB,11.0,2022,TS,22
286Kev,12.0,2022,TS,22
287Zac,13.0,2022,TS,22
288Ste,14.0,2022,TS,22
289Mil,15.0,2022,TS,22
290Ja ,16.0,2022,TS,22
291Jay,17.0,2022,TS,22
292Pas,18.0,2022,TS,22
293Ant,19.0,2022,TS,22
294LaM,20.0,2022,TS,22
295Dar,21.0,2022,TS,22
296Jul,22.0,2022,TS,22
297Rus,23.0,2022,TS,22
298Dej,24.0,2022,TS,22
299Jam,25.0,2022,TS,22
300Ste,1.0,2021,TS,21
301Dam,2.0,2021,TS,21
302Nik,3.0,2021,TS,21
303Bra,4.0,2021,TS,21
304Luk,5.0,2021,TS,21
305Gia,6.0,2021,TS,21
306Dev,7.0,2021,TS,21
307Jul,8.0,2021,TS,21
308Jay,9.0,2021,TS,21
309Zio,10.0,2021,TS,21
310Nik,11.0,2021,TS,21
311Tra,12.0,2021,TS,21
312Zac,13.0,2021,TS,21
313De',14.0,2021,TS,21
314Col,15.0,2021,TS,21
315Joe,16.0,2021,TS,21
316Kyr,17.0,2021,TS,21
317Bra,18.0,2021,TS,21
318Rus,19.0,2021,TS,21
319Jay,20.0,2021,TS,21
320Ter,21.0,2021,TS,21
321Don,22.0,2021,TS,21
322Ant,23.0,2021,TS,21
323Khr,24.0,2021,TS,21
324And,25.0,2021,TS,21
325Jam,1.0,2020,TS,20
326Dam,2.0,2020,TS,20
327Dev,3.0,2020,TS,20
328Gia,4.0,2020,TS,20
329Tra,5.0,2020,TS,20
330Luk,6.0,2020,TS,20
331Bra,7.0,2020,TS,20
332LeB,8.0,2020,TS,20
333Don,9.0,2020,TS,20
334Ant,10.0,2020,TS,20
335CJ ,11.0,2020,TS,20
